"Deal_ID","Created_Date","Close_Date","Fiscal_Year","Quarter","Month","Sales_Rep","Manager","Region","City","Customer_Name","Industry","Customer_Type","Is_New_Customer","Product_Name","Product_Category","Deal_Size_Tier","Pipeline_Stage","Win_Probability_%","Deal_Status","Contract_Value_VND","Discount_%","Discount_Amount_VND","Net_Revenue_VND","Cost_of_Sale_VND","Gross_Profit_VND","Gross_Margin_%","Payment_Terms","Payment_Collected_VND","Outstanding_Balance_VND","Sales_Cycle_Days","Lead_Source","Lost_Reason","Forecast_Category","Activities_Count","Last_Activity_Date","Customer_Satisfaction","NPS_Score","Contract_Renewed","Upsell_Opportunity","Next_Follow_Up_Date","Notes"
"DEAL-00118",2024-09-05,2024-12-31,"FY2024","Q3","Sep","Đặng Văn Nam","Dương Thị Hạnh","Miền Bắc","Đà Nẵng","Tập đoàn Bình Dương","Education","B2B","No","Cybersecurity Package","Security","Mid-Market","Needs Analysis",30,"Open",767918000,12.9,99061000,668857000,189019000,479838000,71.74,"Upfront",40131000,628726000,179,"Upsell/Cross-sell","N/A","Pipeline",19,2024-12-21,1.9,30,"No","No",2025-03-21,"Đang chờ phê duyệt ngân sách"
"DEAL-00119",2024-05-03,2024-10-13,"FY2024","Q2","May","Ngô Văn Phú","Hoàng Văn Đức","Miền Bắc","Nha Trang","Công ty CP Thái Bình Dương","F&B","B2B","Yes","BI Dashboard Solution","Software","Enterprise","Negotiation",75,"Open",4906465000,6.6,323827000,4582638000,1981533000,2601105000,56.76,"Net 60",595743000,3986895000,163,"Upsell/Cross-sell","N/A","Best Case",13,2024-10-09,2.7,-9,"No","No",2024-11-18,"Hợp đồng đã ký"
"DEAL-00120",2024-06-21,2024-07-14,"FY2024","Q2","Jun","Nguyễn Văn Hùng","Nguyễn Văn Hùng","Tây Nguyên","Hà Nội","Công ty CP Kim Long","F&B","B2B","No","IT Support Contract","Services","Mid-Market","Prospecting",5,"Open",998893000,6.8,67925000,930968000,408881000,522087000,56.08,"Upfront",176884000,754084000,23,"Inbound Lead","N/A","Pipeline",26,2024-07-03,2.7,17,"No","Yes",2024-09-19,"Đang chờ phê duyệt ngân sách"
"DEAL-00121",2024-05-24,2024-07-05,"FY2024","Q2","May","Mai Văn Long","Dương Thị Hạnh","Miền Trung","Hồ Chí Minh","Tập đoàn Bình Dương","Manufacturing","B2B","No","CRM System","Software","SMB","Proposal",50,"Open",51489000,6.1,3141000,48348000,15641000,32707000,67.65,"Upfront",3868000,44480000,42,"Direct Sales","N/A","Best Case",2,2024-06-29,3.2,-40,"No","No",2024-09-21,
"DEAL-00122",2024-02-13,2024-05-29,"FY2024","Q1","Feb","Hoàng Văn Đức","Nguyễn Văn Hùng","Tây Nguyên","Đồng Nai","Công ty TNHH Hải Đăng","F&B","B2B","No","Mobile App Development","Services","Enterprise","Needs Analysis",30,"Open",1632175000,0.6,9793000,1622382000,514457000,1107925000,68.29,"Net 30",438043000,1184339000,106,"Inbound Lead","N/A","Pipeline",8,2024-04-29,1.1,-18,"No","No",2024-06-22,
"DEAL-00123",2024-10-06,2024-12-29,"FY2024","Q4","Oct","Ngô Văn Phú","Đặng Văn Nam","Miền Trung","Đà Nẵng","Công ty TNHH Hải Đăng","Real Estate","B2B","No","BI Dashboard Solution","Software","Enterprise","Prospecting",5,"Open",1471604000,16.3,239871000,1231733000,541593000,690140000,56.03,"Net 60",172443000,1059290000,84,"Upsell/Cross-sell","N/A","Pipeline",7,2024-12-24,2.5,23,"No","No",2025-02-18,
"DEAL-00124",2024-07-06,2024-12-05,"FY2024","Q3","Jul","Nguyễn Thị Nhung","Bùi Thị Mai","Miền Bắc","Hồ Chí Minh","Công ty CP Đông Phong","Healthcare","B2B","No","IT Infrastructure","Hardware","Mid-Market","Closed Won",100,"Won",456784000,10.6,48419000,408365000,149012000,259353000,63.51,"Net 60",187848000,220517000,152,"Upsell/Cross-sell","N/A","Closed",14,2024-11-08,3.8,35,"No","No",,
"DEAL-00125",2024-03-25,2024-08-31,"FY2024","Q1","Mar","Phạm Thị Thu","Dương Thị Hạnh","Miền Trung","Hồ Chí Minh","Tập đoàn Quảng Ninh","Retail","B2B","No","Cybersecurity Package","Security","SMB","Needs Analysis",30,"Open",180764000,17.8,32176000,148588000,57578000,91010000,61.25,"Net 60",41605000,106983000,159,"Direct Sales","N/A","Pipeline",10,2024-08-26,3.5,14,"No","No",2024-10-07,
"DEAL-00126",2024-08-13,2024-10-10,"FY2024","Q3","Aug","Lý Thị Bích","Ngô Văn Phú","Miền Trung","Đồng Nai","Tập đoàn Tân Việt","Manufacturing","B2G","No","Mobile App Development","Services","SMB","Qualification",15,"Open",68887000,16.4,11297000,57590000,23946000,33644000,58.42,"Net 30",1152000,56438000,58,"Direct Sales","N/A","Pipeline",29,2024-09-17,3.2,-20,"No","No",2024-12-10,
"DEAL-00127",2024-05-04,2024-09-25,"FY2024","Q2","May","Phạm Thị Thu","Ngô Văn Phú","Miền Nam","Hải Phòng","Tập đoàn Sông Hồng","Technology","B2B","No","ERP Software License","Software","SMB","Closed Won",100,"Won",68566000,16.5,11313000,57253000,24373000,32880000,57.43,"Upfront",34352000,22901000,144,"Upsell/Cross-sell","N/A","Closed",20,2024-09-03,3.9,39,"Yes","Yes",,"Hợp đồng đã ký"
"DEAL-00128",2024-02-18,2024-04-10,"FY2024","Q1","Feb","Phạm Thị Thu","Bùi Thị Mai","Miền Bắc","Cần Thơ","Tập đoàn Huế","Real Estate","B2B","No","Warehouse Management","Software","Enterprise","Needs Analysis",30,"Open",3396083000,7.5,254706000,3141377000,1273200000,1868177000,59.47,"Net 60",848172000,2293205000,52,"Cold Outreach","N/A","Pipeline",30,2024-03-28,1.3,1,"No","No",2024-04-18,"Hợp đồng đã ký"
"DEAL-00129",2024-11-08,2024-12-31,"FY2024","Q4","Nov","Trịnh Thị Trang","Hoàng Văn Đức","Miền Nam","Nha Trang","Công ty CP Cần Thơ Holdings","F&B","B2B","No","BI Dashboard Solution","Software","Enterprise","Closed Won",100,"Won",4169468000,17.8,742165000,3427303000,847572000,2579731000,75.27,"Upfront",2536204000,891099000,90,"Event/Trade Show","N/A","Closed",16,2024-12-07,3.3,62,"Yes","Yes",,"Hợp đồng đã ký"
"DEAL-00130",2024-10-01,2024-12-31,"FY2024","Q4","Oct","Hoàng Văn Đức","Lê Văn Minh","Miền Nam","Bình Dương","Công ty CP Bắc Ninh Tech","Education","B2B","Yes","Cybersecurity Package","Security","Enterprise","Proposal",50,"Open",1428858000,8,114309000,1314549000,558683000,755866000,57.5,"Milestone",157746000,1156803000,102,"Event/Trade Show","N/A","Best Case",13,2024-12-01,3.8,8,"No","Yes",2025-01-20,
"DEAL-00131",2024-12-23,2024-12-31,"FY2024","Q4","Dec","Trần Văn Tuấn","Trần Thị Lan","Miền Bắc","Bình Dương","Công ty CP Kim Long","Real Estate","B2B","No","HR Management Suite","Software","Enterprise","Qualification",15,"Open",4773043000,4.4,210014000,4563029000,1337880000,3225149000,70.68,"Milestone",273782000,4289247000,95,"Digital Lead","N/A","Pipeline",15,2024-12-05,3.5,-1,"No","No",2025-01-13,
"DEAL-00132",2024-12-06,2024-12-31,"FY2024","Q4","Dec","Đinh Văn Quân","Đặng Văn Nam","Miền Bắc","Đồng Nai","Tập đoàn Đà Nẵng","Retail","B2B","Yes","Cybersecurity Package","Security","Enterprise","Closed Lost",0,"Lost",1710630000,6.6,112902000,1597728000,354696000,1243032000,77.8,"Annual Subscription",63909000,1533819000,81,"Cold Outreach","Requirements mismatch","Omitted",19,2024-12-26,3,-50,"No","Yes",,
"DEAL-00133",2024-03-30,2024-05-25,"FY2024","Q1","Mar","Trịnh Thị Trang","Ngô Văn Phú","Tây Nguyên","Hồ Chí Minh","Công ty TNHH Nam Sơn","Construction","B2G","No","Mobile App Development","Services","Mid-Market","Qualification",15,"Open",528956000,19,100502000,428454000,195118000,233336000,54.46,"Net 30",72837000,355617000,56,"Upsell/Cross-sell","N/A","Pipeline",15,2024-05-02,3.6,-24,"No","No",2024-08-22,
"DEAL-00134",2024-08-19,2024-11-15,"FY2024","Q3","Aug","Bùi Thị Mai","Hoàng Văn Đức","Miền Trung","Hà Nội","Công ty TNHH Hoàng Anh","Manufacturing","B2B","Yes","Accounting Software","Software","SMB","Prospecting",5,"Open",105239000,2,2105000,103134000,36530000,66604000,64.58,"Milestone",26815000,76319000,88,"Digital Lead","N/A","Pipeline",13,2024-11-07,3.7,24,"No","No",2025-01-14,"Cần demo sản phẩm"
"DEAL-00135",2024-02-24,2024-07-06,"FY2024","Q1","Feb","Hoàng Văn Đức","Phạm Thị Thu","Miền Bắc","Đà Nẵng","Tập đoàn Bình Dương","Construction","B2B","No","ERP Software License","Software","Enterprise","Needs Analysis",30,"Open",1391981000,7.5,104399000,1287582000,398120000,889462000,69.08,"Milestone",347647000,939935000,133,"Event/Trade Show","N/A","Pipeline",4,2024-06-12,3.6,-32,"No","No",2024-09-05,
"DEAL-00136",2024-02-27,2024-07-25,"FY2024","Q1","Feb","Hoàng Thị Linh","Phạm Thị Thu","Miền Bắc","Hồ Chí Minh","Công ty CP Cần Thơ Holdings","Construction","B2B","No","POS System","Hardware","Mid-Market","Closed Lost",0,"Lost",381911000,14.8,56523000,325388000,135459000,189929000,58.37,"Net 30",61824000,263564000,149,"Inbound Lead","Internal decision change","Omitted",19,2024-07-01,1.8,14,"No","No",,
"DEAL-00137",2024-01-10,2024-06-30,"FY2024","Q1","Jan","Nguyễn Thị Nhung","Lê Văn Minh","Tây Nguyên","Bình Dương","Tập đoàn Bình Dương","Construction","B2G","No","E-commerce Platform","Software","Enterprise","Closed Won",100,"Won",3361919000,14,470669000,2891250000,961052000,1930198000,66.76,"Upfront",1272150000,1619100000,172,"Partner Referral","N/A","Closed",6,2024-06-07,3.2,12,"No","No",,
"DEAL-00138",2024-11-01,2024-12-31,"FY2024","Q4","Nov","Đinh Văn Quân","Trần Thị Lan","Tây Nguyên","Hà Nội","Công ty TNHH Nha Trang","Manufacturing","B2B","No","ERP Software License","Software","Enterprise","Closed Lost",0,"Lost",2538129000,11.3,286809000,2251320000,634197000,1617123000,71.83,"Annual Subscription",270158000,1981162000,160,"Direct Sales","No budget","Omitted",29,2024-12-20,1.6,-17,"No","No",,
"DEAL-00139",2024-11-02,2024-12-26,"FY2024","Q4","Nov","Nguyễn Thị Nhung","Nguyễn Văn Hùng","Tây Nguyên","Đà Nẵng","Công ty CP Thái Bình Dương","Construction","B2B","No","BI Dashboard Solution","Software","Mid-Market","Proposal",50,"Open",409331000,19.9,81457000,327874000,132461000,195413000,59.6,"Upfront",65575000,262299000,54,"Partner Referral","N/A","Best Case",21,2024-12-19,2.7,24,"No","Yes",2025-01-16,"Khách hàng tiềm năng cao"
"DEAL-00140",2024-06-22,2024-11-12,"FY2024","Q2","Jun","Trần Thị Lan","Bùi Thị Mai","Miền Bắc","Đồng Nai","Tập đoàn Quảng Ninh","Healthcare","B2G","No","Cloud Hosting Package","Cloud","Enterprise","Proposal",50,"Open",3347670000,14.2,475369000,2872301000,579918000,2292383000,79.81,"Milestone",832967000,2039334000,143,"Inbound Lead","N/A","Best Case",28,2024-11-08,2.9,2,"No","Yes",2025-01-18,"Khách hàng tiềm năng cao"
"DEAL-00141",2024-04-20,2024-10-06,"FY2024","Q2","Apr","Nguyễn Văn Hùng","Ngô Văn Phú","Miền Trung","Cần Thơ","Công ty CP Cần Thơ Holdings","Finance","B2B","No","CRM System","Software","Mid-Market","Closed Won",100,"Won",282451000,10.4,29375000,253076000,57954000,195122000,77.1,"Upfront",151846000,101230000,169,"Partner Referral","N/A","Closed",30,2024-09-15,3.8,22,"No","No",,"Đang chờ phê duyệt ngân sách"
"DEAL-00142",2024-03-15,2024-05-01,"FY2024","Q1","Mar","Phạm Văn Thắng","Nguyễn Văn Hùng","Miền Bắc","Đồng Nai","Công ty TNHH Gia Bảo","Real Estate","B2B","No","HR Management Suite","Software","Enterprise","Prospecting",5,"Open",1048348000,9.8,102738000,945610000,442924000,502686000,53.16,"Net 30",245859000,699751000,47,"Inbound Lead","N/A","Pipeline",14,2024-04-13,3.6,2,"No","No",2024-06-09,"Cần demo sản phẩm"
"DEAL-00143",2024-03-08,2024-09-04,"FY2024","Q1","Mar","Trần Thị Lan","Bùi Thị Mai","Tây Nguyên","Cần Thơ","Công ty TNHH Gia Bảo","F&B","B2B","No","IT Infrastructure","Hardware","SMB","Prospecting",5,"Open",104166000,6,6250000,97916000,25321000,72595000,74.14,"Net 30",1958000,95958000,180,"Direct Sales","N/A","Pipeline",3,2024-08-05,3.9,-35,"No","No",2024-09-21,"Khách hàng tiềm năng cao"
"DEAL-00144",2024-06-03,2024-10-18,"FY2024","Q2","Jun","Mai Văn Long","Trần Thị Lan","Miền Nam","Nha Trang","Tập đoàn Tân Việt","Education","B2B","No","Warehouse Management","Software","SMB","Negotiation",75,"Open",111230000,4,4449000,106781000,45051000,61730000,57.81,"Milestone",30966000,75815000,137,"Direct Sales","N/A","Best Case",9,2024-10-11,1,-3,"No","No",2024-11-10,"Đang chờ phê duyệt ngân sách"
"DEAL-00145",2024-06-25,2024-08-09,"FY2024","Q2","Jun","Hoàng Văn Đức","Hoàng Văn Đức","Miền Bắc","Cần Thơ","Công ty TNHH Long An","Manufacturing","B2B","No","Data Analytics Platform","Software","SMB","Prospecting",5,"Open",38527000,8.1,3121000,35406000,14035000,21371000,60.36,"Net 30",9560000,25846000,45,"Cold Outreach","N/A","Pipeline",2,2024-07-31,3,-26,"No","No",2024-10-29,"Khách hàng tiềm năng cao"
"DEAL-00146",2024-11-22,2024-12-08,"FY2024","Q4","Nov","Đặng Văn Nam","Hoàng Văn Đức","Miền Bắc","Đồng Nai","Công ty CP Đồng Nai","Construction","B2G","No","Mobile App Development","Services","Mid-Market","Negotiation",75,"Open",780863000,0.2,1562000,779301000,262858000,516443000,66.27,"Milestone",210411000,568890000,16,"Digital Lead","N/A","Best Case",13,2024-12-04,3.3,-30,"No","No",2024-12-19,"Khách hàng tiềm năng cao"
"DEAL-00147",2024-10-20,2024-12-31,"FY2024","Q4","Oct","Nguyễn Thị Nhung","Hoàng Văn Đức","Miền Trung","Đà Nẵng","Công ty TNHH Nha Trang","Manufacturing","B2G","Yes","Accounting Software","Software","Mid-Market","Proposal",50,"Open",609537000,5.7,34744000,574793000,251587000,323206000,56.23,"Monthly Subscription",114959000,459834000,92,"Direct Sales","N/A","Best Case",26,2024-12-15,1.8,15,"No","Yes",2025-03-15,"Đang chờ phê duyệt ngân sách"
"DEAL-00148",2024-12-27,2024-12-31,"FY2024","Q4","Dec","Mai Văn Long","Ngô Văn Phú","Miền Bắc","Đồng Nai","Công ty CP Kim Long","Education","B2B","No","Digital Marketing Service","Services","Mid-Market","Prospecting",5,"Open",516220000,18.5,95501000,420719000,122093000,298626000,70.98,"Net 60",12622000,408097000,157,"Direct Sales","N/A","Pipeline",5,2024-12-06,2,2,"No","No",2025-02-12,
"DEAL-DUPLICATE",2025-03-11,2024-04-18,"FY2024","Q1","Mar","Mai Văn Long","Vũ Thị Hoa","Miền Nam","Cần Thơ","Công ty TNHH Minh Phát","Other","B2B","No","ERP Software License","Software","SMB","Closed Won",100,"Won",,0,11525000,124066000,57207000,66859000,184858000,"Upfront",58311000,65755000,18,"Direct Sales","N/A","Closed",30,2024-03-24,3.8,55,"No","No",,
"DEAL-00150",2024-11-01,2024-12-31,"FY2024","Q4","Nov","Ngô Văn Phú","Lê Văn Minh","Miền Trung","Nha Trang","Công ty TNHH Hải Phòng","Retail","B2B","No","Data Analytics Platform","Software","Enterprise","Needs Analysis",30,"Open",2421053000,14,338947000,2082106000,770796000,1311310000,62.98,"Milestone",104105000,1978001000,67,"Inbound Lead","N/A","Pipeline",22,2024-12-22,2.1,-12,"No","No",2025-01-26,"Hợp đồng đã ký"
"DEAL-00151",2024-06-05,2024-07-13,"FY2024","Q2","Jun","Hoàng Văn Đức","Nguyễn Văn Hùng","Miền Nam","Đà Nẵng","Công ty TNHH Minh Phát","Manufacturing","B2B","No","Cybersecurity Package","Security","Mid-Market","Closed Won",100,"Won",757401000,13,98462000,658939000,168359000,490580000,74.45,"Milestone",309701000,349238000,38,"Digital Lead","N/A","Closed",5,2024-06-17,4.5,0,"No","No",,
"DEAL-00152",2024-09-03,2024-10-28,"FY2024","Q3","Sep","Bùi Thị Mai","Ngô Văn Phú","Miền Nam","Bình Dương","Tập đoàn Sông Hồng","Real Estate","B2B","No","IT Infrastructure","Hardware","Mid-Market","Closed Won",100,"Won",591456000,5.4,31939000,559517000,266722000,292795000,52.33,"Net 30",324520000,234997000,55,"Direct Sales","N/A","Closed",2,2024-09-29,3.4,33,"No","No",,"Hợp đồng đã ký"
"DEAL-00153",2024-01-09,2024-04-04,"FY2024","Q1","Jan","Đặng Văn Nam","Ngô Văn Phú","Miền Nam","Hồ Chí Minh","Công ty CP Bắc Ninh Tech","Technology","B2B","No","Accounting Software","Software","SMB","Negotiation",75,"Open",32298000,8.9,2875000,29423000,9265000,20158000,68.51,"Annual Subscription",1177000,28246000,86,"Cold Outreach","N/A","Best Case",27,2024-03-22,3.2,11,"No","No",2024-05-06,
"DEAL-00154",2024-09-29,2024-11-02,"FY2024","Q3","Sep","Mai Văn Long","Nguyễn Văn Hùng","Miền Trung","Đà Nẵng","Tập đoàn Sông Hồng","Logistics","B2B","Yes","HR Management Suite","Software","SMB","Closed Won",100,"Won",178366000,18.2,32463000,145903000,50497000,95406000,65.39,"Annual Subscription",124018000,21885000,34,"Event/Trade Show","N/A","Closed",5,2024-10-16,4.5,76,"No","Yes",,"Đang chờ phê duyệt ngân sách"
"DEAL-00155",2024-11-19,2024-12-31,"FY2024","Q4","Nov",,"Dương Thị Hạnh","Miền Trung","Bình Dương","Công ty CP Á Đông","Manufacturing","B2G","Yes","Mobile App Development","Services","SMB","Proposal",50,"Open",164017000,15.5,25423000,138594000,38127000,100467000,72.49,"Net 60",40192000,98402000,147,"Inbound Lead","N/A","Best Case",5,2024-12-04,3,-31,"No","Yes",2025-02-10,"Khách hàng tiềm năng cao"
"DEAL-00156",2024-12-10,2024-12-31,"FY2024","Q4","Dec","Đinh Văn Quân","Lê Văn Minh","Miền Nam","Cần Thơ","Công ty TNHH Hải Phòng","Manufacturing","B2G","No","CRM System","Software","Mid-Market","Needs Analysis",30,"Open",694424000,16.7,115969000,578455000,262098000,316357000,54.69,"Upfront",127260000,451195000,127,"Partner Referral","N/A","Pipeline",13,2024-12-16,2.3,23,"No","Yes",2025-03-19,"Cần demo sản phẩm"
"DEAL-00157",2024-01-31,2024-06-22,"FY2024","Q1","Jan","Lý Thị Bích","Vũ Thị Hoa","Miền Bắc","Cần Thơ","Công ty CP Đông Phong","Education","B2B","Yes","CRM System","Software","Enterprise","Closed Won",100,"Won",4503171000,8.8,396279000,4106892000,1466571000,2640321000,64.29,"Monthly Subscription",3244445000,862447000,143,"Digital Lead","N/A","Closed",7,2024-06-05,4,38,"No","No",,
"DEAL-00158",2024-02-05,2024-04-25,"FY2024","Q1","Feb","Vũ Thị Hoa","Nguyễn Văn Hùng","Miền Bắc","Nha Trang","Công ty CP Đông Phong","Real Estate","B2B","No","Mobile App Development","Services","Enterprise","Closed Lost",0,"Lost",2496112000,17.9,446804000,2049308000,575651000,1473657000,71.91,"Net 60",327889000,1721419000,80,"Partner Referral","Requirements mismatch","Omitted",9,2024-04-19,1.3,30,"No","No",,
"DEAL-00159",2024-06-18,2024-11-20,"FY2024","Q2","Jun","Lê Văn Minh","Hoàng Văn Đức","Miền Trung","Đồng Nai","Công ty TNHH Gia Bảo","Real Estate","B2B","No","E-commerce Platform","Software","Mid-Market","Closed Won",100,"Won",217902000,18.1,39440000,178462000,63193000,115269000,64.59,"Net 60",157047000,21415000,155,"Event/Trade Show","N/A","Closed",9,2024-11-09,4.5,52,"Yes","No",,"Cần demo sản phẩm"
"DEAL-00160",2024-11-12,2024-12-31,"FY2024","Q4","Nov","Lê Thị Oanh","Ngô Văn Phú","Miền Nam","Bình Dương","Tập đoàn Đà Nẵng","Finance","B2B","No","Cybersecurity Package","Security","Enterprise","Needs Analysis",30,"Open",3191909000,18.8,600079000,2591830000,748780000,1843050000,71.11,"Annual Subscription",388774000,2203056000,54,"Partner Referral","N/A","Pipeline",27,2024-12-29,3.4,-41,"No","No",2025-01-12,
"DEAL-00161",2024-03-04,2024-06-05,"FY2024","Q1","Mar","Phạm Thị Thu","Trần Thị Lan","Miền Nam","Đồng Nai","Tập đoàn Đà Nẵng","Manufacturing","B2B","No","Mobile App Development","Services","Mid-Market","Qualification",15,"Open",433510000,12.9,55923000,377587000,125850000,251737000,66.67,"Monthly Subscription",75517000,302070000,93,"Direct Sales","N/A","Pipeline",8,2024-05-11,1.3,-36,"No","Yes",2024-09-03,
"DEAL-00162",2024-12-26,2024-12-31,"FY2024","Q4","Dec","Trần Văn Tuấn","Dương Thị Hạnh","Miền Bắc","Hà Nội","Tập đoàn An Khang","Education","B2B","No","Data Analytics Platform","Software","Enterprise","Qualification",15,"Open",4426625000,16.6,734820000,3691805000,1587845000,2103960000,56.99,"Net 60",258426000,3433379000,173,"Inbound Lead","N/A","Pipeline",20,2024-12-13,1.4,25,"No","No",2025-02-21,"Khách hàng tiềm năng cao"
"DEAL-00163",2024-04-13,2024-06-02,"FY2024","Q2","Apr","Hoàng Thị Linh","Bùi Thị Mai","Miền Trung","Bình Dương","Công ty TNHH Bảo Việt","Healthcare","B2G","No","Data Analytics Platform","Software","SMB","Proposal",50,"Open",173580000,1.9,3298000,170282000,40408000,129874000,76.27,"Milestone",28948000,141334000,50,"Inbound Lead","N/A","Best Case",11,2024-05-23,3.5,-42,"No","No",2024-08-14,"Khách hàng tiềm năng cao"
"DEAL-DUPLICATE",2025-02-17,2024-12-31,"FY2024","Q4","Nov","Lý Thị Bích","Dương Thị Hạnh","Miền Nam","Bình Dương","Tập đoàn Bình Dương","Other","B2B","Yes","BI Dashboard Solution","Software","SMB","Proposal",50,"Open",199735000,19.3,38549000,,56286000,104900000,65.08,"Upfront",20954000,140232000,179,"Direct Sales","N/A","Best Case",15,2024-12-09,2.1,-39,"No","Yes",2025-03-19,"Khách hàng tiềm năng cao"
"DEAL-00165",2024-12-20,2024-12-31,"FY2024","Q4","Dec","Trần Thị Lan","Bùi Thị Mai","Miền Bắc","Hà Nội","Tập đoàn Phú Mỹ","Healthcare","B2B","No","E-commerce Platform","Software","SMB","Closed Lost",0,"Lost",79988000,2.3,1840000,78148000,33955000,44193000,56.55,"Monthly Subscription",10159000,67989000,90,"Event/Trade Show","No budget","Omitted",19,2024-12-26,3.8,8,"No","No",,"Cần demo sản phẩm"
"DEAL-00166",2024-06-22,2024-08-24,"FY2024","Q2","Jun","Dương Thị Hạnh","Hoàng Văn Đức","Miền Nam","Hồ Chí Minh","Tập đoàn Đà Nẵng","Technology","B2B","Yes","ERP Software License","Software","SMB","Closed Won",100,"Won",199094000,19,37828000,161266000,60394000,100872000,62.55,"Upfront",51605000,109661000,63,"Inbound Lead","N/A","Closed",3,2024-08-15,3.1,-10,"No","No",,"Hợp đồng đã ký"
"DEAL-00167",2024-07-04,2024-08-11,"FY2024","Q3","Jul","Nguyễn Văn Hùng","Vũ Thị Hoa","Miền Trung","Cần Thơ","Tập đoàn Huế","Real Estate","B2G","No","Cybersecurity Package","Security","Mid-Market","Proposal",50,"Open",879777000,10.4,91497000,788280000,209604000,578676000,73.41,"Net 30",110359000,677921000,38,"Digital Lead","N/A","Best Case",2,2024-07-31,1.9,7,"No","Yes",2024-10-08,
"DEAL-00168",2024-10-29,2024-12-31,"FY2024","Q4","Oct","Nguyễn Thị Nhung","Bùi Thị Mai","Miền Nam","Hồ Chí Minh","Tập đoàn An Khang","Technology","B2G","Yes","CRM System","Software","Mid-Market","Negotiation",75,"Open",936386000,5.3,49628000,886758000,317016000,569742000,64.25,"Monthly Subscription",97543000,789215000,136,"Digital Lead","N/A","Best Case",17,2024-12-17,3,10,"No","No",2025-03-27,
"DEAL-00169",2024-12-18,2024-12-31,"FY2024","Q4","Dec","Lê Văn Minh","Phạm Thị Thu","Tây Nguyên","Hà Nội","Công ty CP Thành Đông","F&B","B2B","Yes","IT Infrastructure","Hardware","Enterprise","Qualification",15,"Open",1058657000,0.7,7411000,1051246000,347752000,703494000,66.92,"Net 30",273324000,777922000,93,"Direct Sales","N/A","Pipeline",10,2024-12-26,3.1,12,"No","No",2025-01-12,
"DEAL-00170",2024-10-29,2024-12-21,"FY2024","Q4","Oct","Lê Văn Minh","Hoàng Văn Đức","Tây Nguyên","Đồng Nai","Công ty TNHH Nam Sơn","Technology","B2B","Yes","POS System","Hardware","Mid-Market","Closed Won",100,"Won",288433000,10.4,29997000,258436000,61559000,196877000,76.18,"Annual Subscription",118881000,139555000,53,"Inbound Lead","N/A","Closed",13,2024-12-16,4.4,5,"No","No",,
"DEAL-00171",2024-12-12,2024-12-31,"FY2024","Q4","Dec","Ngô Văn Phú","Bùi Thị Mai","Miền Trung","Hải Phòng","Công ty CP Đồng Nai","Logistics","B2B","No","Mobile App Development","Services","SMB","Prospecting",5,"Open",160228000,3.1,4967000,155261000,36207000,119054000,76.68,"Net 60",45026000,110235000,56,"Cold Outreach","N/A","Pipeline",2,2024-12-13,2.2,-27,"No","No",2025-01-29,"Hợp đồng đã ký"
"DEAL-00172",2024-09-21,2024-12-31,"FY2024","Q3","Sep","Đinh Văn Quân","Bùi Thị Mai","Tây Nguyên","Nha Trang","Công ty TNHH Hải Đăng","Construction","B2G","No","POS System","Hardware","Enterprise","Needs Analysis",30,"Open",3642890000,14.7,535505000,3107385000,743908000,2363477000,76.06,"Monthly Subscription",372886000,2734499000,147,"Digital Lead","N/A","Pipeline",17,2024-12-30,2,-1,"No","Yes",2025-03-31,
"DEAL-00173",2024-11-27,2024-12-31,"FY2024","Q4","Nov","Trịnh Thị Trang","Trần Thị Lan","Miền Trung","Bình Dương","Công ty TNHH Nam Sơn","Logistics","B2B","No","IT Infrastructure","Hardware","Enterprise","Needs Analysis",30,"Open",2490418000,7.5,186781000,2303637000,1086856000,1216781000,52.82,"Milestone",184291000,2119346000,64,"Inbound Lead","N/A","Pipeline",30,2024-12-28,1.9,14,"No","No",2025-01-15,
"DEAL-00174",2024-08-01,2024-08-21,"FY2024","Q3","Aug","Lê Văn Minh","Trần Thị Lan","Miền Bắc","Bình Dương","Tập đoàn Huế","Real Estate","B2B","No","E-commerce Platform","Software","SMB","Closed Lost",0,"Lost",165492000,1.2,1986000,163506000,39863000,123643000,75.62,"Annual Subscription",32701000,130805000,20,"Inbound Lead","Price too high","Omitted",29,2024-07-27,3.3,-42,"No","No",,"Khách hàng tiềm năng cao"
"DEAL-00175",2024-02-04,2024-06-10,"FY2024","Q1","Feb","Nguyễn Thị Nhung","Trần Thị Lan","Miền Trung","Hải Phòng","Tập đoàn Sông Hồng","Construction","B2B","No","E-commerce Platform","Software","Enterprise","Negotiation",75,"Open",3984110000,13.8,549807000,3434303000,1469882000,1964421000,57.2,"Annual Subscription",206058000,3228245000,127,"Partner Referral","N/A","Best Case",11,2024-05-28,3.8,-20,"No","Yes",2024-09-02,
"DEAL-00176",2024-07-31,2024-12-31,"FY2024","Q3","Jul","Cao Văn Phong","Đặng Văn Nam","Tây Nguyên","Hồ Chí Minh","Công ty TNHH Bảo Việt","Retail","B2B","No","IT Support Contract","Services","SMB","Closed Won",100,"Won",155585000,16.7,25983000,129602000,41563000,88039000,67.93,"Annual Subscription",46657000,82945000,173,"Direct Sales","N/A","Closed",9,2024-12-13,3.2,41,"No","No",,"Hợp đồng đã ký"
